sno,sna,tot,sbi,mday,lat,lng,bemp,act
1001,大鵬華城,38,0,20210224160345,24.99116,121.53398,38,1
1002,汐止火車站,56,35,20210224160323,25.068914,121.662748,19,1
1003,汐止區公所,46,12,20210224160318,25.064162,121.658301,34,1
1004,國泰綜合醫院,56,16,20210224160328,25.07315,121.662555,39,1
1005,裕隆公園,40,6,20210224160328,24.979649,121.546319,34,1
1006,捷運大坪林站(5號出口),94,4,20210224160334,24.98283,121.54362,90,1
1007,汐科火車站(北),34,15,20210224160330,25.064106,121.653019,19,1
1008,興華公園,40,20,20210224160324,25.060125,121.483101,20,1
1009,三重國民運動中心,68,15,20210224160330,25.054391,121.488489,53,1
1010,捷運三重站(3號出口),34,3,20210224160329,25.055883,121.484739,31,1
1011,樟樹國小,48,9,20210224160344,25.066688,121.640367,39,1
1012,金龍國小,52,1,20210224160336,25.0688,121.628908,50,1
1013,白雲國小,46,0,20210106092234,25.047578,121.618888,0,0
1014,東勢宜興活動中心,52,2,20210224160238,25.039031,121.624333,50,1
1015,後港公園,40,8,20210224160320,25.025358,121.428348,32,1
1016,福營行政中心,42,23,20210224160334,25.024125,121.42387,19,1
1017,西盛公園,36,3,20210224160342,25.017113,121.428048,33,1
1018,忠誠里(北新路2段97巷),40,8,20210224160332,24.974272,121.542779,30,1
1019,仁愛廣場,50,9,20210224160343,25.090565,121.471621,41,1
1020,重陽國小,42,7,20210224160323,25.066245,121.484337,28,1
1021,明志國中,50,8,20210224160332,25.063396,121.488982,42,1
1022,三重商工,64,50,20210224160323,25.068681,121.480705,14,1
1023,捷運新莊站(1號出口),58,22,20210224160335,25.036152,121.452069,36,1
1024,原興廣場,52,3,20210224160331,25.065042,121.633149,49,1
1025,文化白雲公園,76,3,20210224160234,25.056875,121.655207,73,1
1026,秀山國小,62,6,20210224160340,24.996151,121.521988,55,1
1027,捷運永安市場站,72,50,20210224160329,25.001013,121.511588,22,1
1028,福和國中,66,14,20210224160342,25.005952,121.52093,52,1
1029,仁愛公園,60,1,20210224160342,25.009838,121.505825,58,1
1030,中和公園,46,17,20210224160344,25.000726,121.51435,26,1
