name,city,wifi,seat,quiet,tasty,cheap,music,url,latitude,longitude,limited_time,socket,standing_desk,mrt,open_time,
蜂巢咖啡,taipei,0,4.5,3,5,4,4,https://www.facebook.com/honeycombcafe2016/,25.0040968,121.5152865,no,no,yes,永安市場站,雙週四公休，有變更另外公告,
The Kaffa Lovers,taipei,5,5,5,5,4,5,https://www.facebook.com/thekaffalovers/?fref=ts,25.044354,121.5304559,no,maybe,yes,忠孝新生,週二至週五 10:00-19:00            六日09:00-19:00 ,
一杯咖啡士林店,taipei,0,0,0,0,0,0,https://www.facebook.com/acupofcoffeeshilin/,25.0930205,121.5266778,no,yes,yes,,,
Full of Beans 充滿豆豆咖啡館,taipei,0,0,0,0,0,0,https://www.facebook.com/FOBcafe.gallery/,25.047838,121.5411381,,,,,,
良食究好市集餐廳WONMI,taipei,5,3,3,5,0,5,http://www.wonmi.com.tw/home.php,25.0483545,121.5623004,,,,,,
8號咖啡屋,taipei,5,5,5,5,5,5,https://www.facebook.com/number8coffee/,24.9746599,121.4403068,no,maybe,no,土城站,,
馬崗街27號咖啡小館,taipei,0,5,5,5,4,4,,25.0128963,122.003318,,,,,,
Olivia Coffee Roaster,taipei,0,4,3,4.5,4,4,,25.0385194,121.5559712,,maybe,no,國父紀念館,,
Caffe Ruelle 巷子壹,taipei,5,5,5,5,5,4.5,http://m.facebook.com/CaffeRuelle/,25.1017758,121.5292749,no,no,yes,,0630-1830,
DEBORAH CAFE 黛博拉咖啡,taipei,0,0,0,0,0,0,,25.0838423,121.5533577,,no,,,,
山徑拾光 TRAIL COFFEE,taipei,0,0,0,0,0,0,,25.0214088,121.53283,,maybe,no,,,
瑞帛咖啡Rebirth Coffee,taipei,4,4.5,4,5,3,4,,25.0592232,121.5321395,,,,,,
啡創工廠 Future Factory,taipei,5,4,4,5,4,4,https://www.facebook.com/future.factory.coffee,25.069167,121.519598,maybe,yes,yes,圓山,12:00-21:00,
MISS.CAFE覓食點咖啡,taipei,5,5,3,5,5,4,,25.0703946,121.4964912,maybe,no,yes,,,
艸地掛,taipei,4,5,5,5,0,0,https://www.facebook.com/caffeterrataipei/?modal=admin_todo_tour,25.0740458,121.6610147,no,yes,yes,,,
June Cafe 六月咖啡,taipei,0,4,5,5,5,5,https://www.facebook.com/junecafe/,25.056659,121.521385,maybe,,,雙連一號出口,,
Mase Cafe 咖啡專門店,taipei,5,5,4,5,5,4,https://www.facebook.com/160578991299565/,25.0461232,121.5423724,no,yes,no,忠孝復興,,
Irga 就此耶加烘豆坊（自家烘焙咖啡）,taipei,0,0,0,0,0,0,,25.0308639,121.529278,,,,,,
歐豆麥,taipei,5,4,4.5,4,5,5,https://www.facebook.com/odovai24082461/,25.2194626,121.6378593,no,maybe,no,,,
小小蔬房,taipei,5,3,3,5,4,5,https://www.facebook.com/xiaoxiaoplace/,25.0464845,121.5040002,no,,no,,,
青鳥,taipei,5,5,5,5,3,5,https://www.facebook.com/bleubook/,25.0443318,121.5293264,,,,,,
邦客思精品咖啡,taipei,5,5,5,5,5,5,https://www.facebook.com/bankers.coffee/,24.9702523,121.5462711,no,maybe,no,,,
八豆咖啡 BarDoor Coffee,taipei,0,0,0,0,0,0,,25.0637249,121.52199,no,no,no,近民權西路站,,
卡塔摩納 台北營業所,taipei,0,0,0,0,0,0,,25.0230369,121.5267001,,,,,,
UNI CAFE,taipei,5,4.5,5,5,5,4.5,http://unicafestudio.com,25.0214991,121.5232314,no,no,no,古亭(2號出口) 台電大樓(4號出口),平日 13:00~21:00，假日11:00~22:00,
Pure Caf'e,taipei,5,5,5,5,5,5,https://www.facebook.com/purecaf,25.0824206,121.5475701,no,yes,no,大直捷運站,,
不如咖啡BLUBLU Kafe,taipei,5,4.5,4,4,4,3.5,https://www.facebook.com/BLU-BLU-Kafe-%E4%B8%8D%E5%A6%82%E5%92%96%E5%95%A1-958742307501571/,25.0873949,121.4849328,maybe,yes,no,徐匯中學站,0800～2100,
仙德曼咖啡.Sadomain cafe,taipei,0,0,0,0,0,0,,25.043444,121.53256,maybe,maybe,no,,,
安提.司朵,taipei,0,0,0,0,0,0,,25.0761446,121.6074954,,,,,,
窩心房Sweet-Art Coffee,taipei,4,5,1,3,4,4,https://www.facebook.com/%E7%AA%A9%E5%BF%83-%E6%88%BF-Sweet-Art-Coffee-1685060255122933/,25.0530229,121.4541062,no,yes,yes,,,
TRIBU CAFE (森優咖啡）,taipei,4.5,5,5,5,4.5,4.5,https://www.facebook.com/tribucafe74/,25.024141,121.55474,no,,no,,10:00-21:00,
